company_name,rating,reviews,jobs,interviews,highly_rated_for,critically_rated_for
Apollo Tyres,4.1,2.2k,8,120,"Skill Development / Learning, Company Culture, Job Security",Promotions / Appraisal
Sammaan Capital Limited,3.8,2.2k,24,96,,Promotions / Appraisal
Landmark Group,4.0,2.2k,16,131,"Job Security, Skill Development / Learning, Company Culture",Promotions / Appraisal
Nestle,4.0,2.1k,43,226,"Salary & Benefits, Skill Development / Learning, Job Security",Promotions / Appraisal
Domino's Pizza,4.0,2.1k,--,85,"Skill Development / Learning, Salary & Benefits",
AGS Health,4.0,2.1k,23,156,"Job Security, Company Culture, Skill Development / Learning",
BlackBuck,3.8,2.1k,4,163,,"Job Security, Promotions / Appraisal"
Blue Dart Express,4.1,2.1k,--,97,"Job Security, Company Culture, Work Life Balance",Promotions / Appraisal
Max Healthcare,4.1,2.1k,79,112,"Skill Development / Learning, Job Security, Company Culture",
Quest Global,3.6,2.1k,91,269,,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
Suzlon Group,4.1,2.1k,23,117,"Skill Development / Learning, Job Security, Company Culture",Promotions / Appraisal
Bajaj Electricals,4.0,2.1k,18,116,"Salary & Benefits, Work Life Balance, Company Culture",Promotions / Appraisal
KocharTech,4.0,2.1k,13,64,"Skill Development / Learning, Company Culture, Job Security",
Fiserv,3.4,2.1k,27,161,,"Promotions / Appraisal, Work Satisfaction, Skill Development / Learning"
Axis Direct,3.9,2.1k,11,76,,Promotions / Appraisal
IKS Health,3.6,2.1k,38,219,,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
Sterlite Technologies,3.8,2.1k,--,156,,"Promotions / Appraisal, Job Security"
G4S,4.0,2.1k,1,92,"Work Life Balance, Salary & Benefits, Job Security",Promotions / Appraisal
Capgemini Engineering,3.5,2.1k,105,326,,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
McDonald's,4.2,2.1k,--,123,"Skill Development / Learning, Company Culture, Job Security",
Zomato,3.7,2.1k,2,299,,"Promotions / Appraisal, Job Security"
Britannia,4.1,2.1k,1,154,"Job Security, Skill Development / Learning",
Micro Labs,3.7,2.1k,9,120,,"Salary & Benefits, Promotions / Appraisal, Company Culture"
XpressBees,3.7,2k,16,145,,"Promotions / Appraisal, Company Culture, Salary & Benefits"
Huawei Technologies,4.0,2k,--,109,"Salary & Benefits, Skill Development / Learning",Job Security
Exide Industries,3.5,2k,46,162,,"Promotions / Appraisal, Company Culture, Work Satisfaction"
Shree Cement,3.9,2k,--,144,,Promotions / Appraisal
Patanjali Ayurved,4.0,2k,1,102,"Work Life Balance, Job Security",Promotions / Appraisal
KPMG Global Services,3.6,2k,--,199,Job Security,"Promotions / Appraisal, Work Satisfaction, Salary & Benefits"
PhonePe,4.0,2k,153,275,Salary & Benefits,
TVS Supply Chain Solutions,3.9,2k,4,124,,"Promotions / Appraisal, Salary & Benefits"
Voltas,4.0,2k,5,114,"Job Security, Company Culture, Work Life Balance",Promotions / Appraisal
Mahindra Logistics,4.0,2k,3,114,Skill Development / Learning,Promotions / Appraisal
KFintech,3.6,2k,7,123,Job Security,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
Fortis Healthcare,4.1,2k,--,121,"Skill Development / Learning, Job Security, Company Culture",
Yazaki,3.8,2k,1,115,,Promotions / Appraisal
Fujitsu,3.8,2k,89,167,"Work Life Balance, Company Culture",Promotions / Appraisal
Taj Hotels Resorts and Palaces,4.2,2k,31,113,"Job Security, Company Culture, Skill Development / Learning",
Simplex Infrastructures,3.3,2k,2,64,,"Salary & Benefits, Promotions / Appraisal, Company Culture"
DS Group,4.1,2k,16,130,"Work Life Balance, Job Security, Salary & Benefits",Promotions / Appraisal
Tractors and Farm Equipment,4.1,2k,14,97,"Skill Development / Learning, Work Life Balance, Company Culture",Promotions / Appraisal
Indus Towers,3.9,2k,34,161,Salary & Benefits,Promotions / Appraisal
ACT Fibernet,4.0,2k,--,125,"Company Culture, Job Security, Salary & Benefits",
Lava International,4.1,2k,--,63,"Skill Development / Learning, Company Culture, Work Life Balance",
Dalmia Bharat Cement,4.0,2k,--,131,"Job Security, Salary & Benefits, Skill Development / Learning",
ZS,3.4,2k,62,439,Salary & Benefits,"Work Life Balance, Work Satisfaction, Promotions / Appraisal"
Himalaya Wellness,4.1,1.9k,2,99,"Work Life Balance, Company Culture, Skill Development / Learning",
VVDN Technologies,3.6,1.9k,16,180,,"Promotions / Appraisal, Salary & Benefits, Company Culture"
SRF,4.2,1.9k,25,168,"Job Security, Salary & Benefits, Skill Development / Learning",
State Street Syntel,3.7,1.9k,--,73,"Job Security, Skill Development / Learning","Salary & Benefits, Promotions / Appraisal"
Blue Star,4.1,1.9k,27,142,"Company Culture, Skill Development / Learning, Salary & Benefits",
V-Mart,4.2,1.9k,--,138,"Skill Development / Learning, Job Security, Company Culture",
Citicorp,3.7,1.9k,--,267,Salary & Benefits,"Promotions / Appraisal, Work Satisfaction, Skill Development / Learning"
Shell,4.1,1.9k,6,184,"Work Life Balance, Company Culture, Salary & Benefits",Promotions / Appraisal
Ajanta Pharma,4.1,1.9k,22,106,"Job Security, Work Life Balance, Skill Development / Learning",
Tata Elxsi,3.9,1.9k,58,279,"Job Security, Work Life Balance, Company Culture","Promotions / Appraisal, Salary & Benefits"
Sonalika Tractors,3.7,1.9k,--,120,,"Promotions / Appraisal, Company Culture, Work Life Balance"
Mahindra Rural Housing Finance,4.0,1.9k,8,76,"Work Life Balance, Company Culture, Skill Development / Learning",Promotions / Appraisal
Ola Cabs,3.4,1.9k,14,139,,"Job Security, Promotions / Appraisal, Company Culture"
Aditya Birla Group,4.2,1.9k,6,176,"Job Security, Skill Development / Learning, Company Culture",
NoBroker,3.2,1.9k,--,211,,"Promotions / Appraisal, Work Satisfaction, Job Security"
Lifestyle,4.4,1.9k,8,62,"Job Security, Skill Development / Learning, Company Culture",
Extramarks Education,3.4,1.9k,17,163,,"Job Security, Promotions / Appraisal, Work Satisfaction"
Kalyan Jewellers,4.7,1.9k,33,53,"Company Culture, Salary & Benefits, Job Security",
Movate,3.4,1.9k,48,239,,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
Datamatics Global Services,3.5,1.9k,--,151,,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
suzuki motor gujarat,4.2,1.9k,16,160,"Job Security, Salary & Benefits, Company Culture",
Kansai Nerolac Paints,3.9,1.8k,--,139,Job Security,Promotions / Appraisal
Info Edge,4.0,1.8k,265,299,"Job Security, Company Culture, Work Life Balance",
Ninjacart,4.0,1.8k,--,91,"Salary & Benefits, Skill Development / Learning, Company Culture",
Cholamandalam MS General Insurance,3.9,1.8k,--,83,,Promotions / Appraisal
Delhi Public School,3.9,1.8k,23,108,Skill Development / Learning,
Parle Agro,4.1,1.8k,16,96,"Job Security, Work Life Balance, Salary & Benefits",
Eureka Forbes,3.7,1.8k,--,67,,"Promotions / Appraisal, Job Security, Company Culture"
MSN Laboratories,3.7,1.8k,33,103,Job Security,"Company Culture, Work Satisfaction, Work Life Balance"
